C3H6D3S9D8;C4C9H4H7CK
DJS5S3C2S9;C6D6D4HAS6
S7S9D10D3C7;C7H9D6S2D9
CKH9S6S7H3;D6D8C8S10C5
D9CQD2S8DK;S2C5C10DAHQ
SKCKDJH5S9;C7C2S2HJC5
C7C5SKDQSJ;S9D2D6DAS6
H2H8DAC4CQ;C2D6D10S10S6
S3D10C5DJCQ;H2H8S7C10DA
C10SKSQC8H9;HAH2S8HJS2
S6D3DAH7C2;CAC5DJH10D5
S3DKHAC10HQ;CJC6D7S5D4
D9DQDAS9H10;D6SKS8CAC9
H5CKC6H4DQ;S5D9DJCACJ
S6H2H10S5H3;DKC10HJS10CJ
D7S7C2H6S6;D5HAS10H9D10
S10D2CJS5DQ;S6D8D7H4C6
C3SQHAH3CK;S9H5D5CAS2
C2D6D9DJD2;CAH10D8S3D4
CJS8D8CKHK;C3C6HAH9H2
S6HJC5HQC6;CQC4H4D3HA
S7CAC4CKH8;H5C8S8S6CQ
DJSJH7H10D3;D9S6H4H3H6
HQC10SKD2DK;H9DQC5S6C2
C9S2H5HAS10;DAS9D3D4H6
HKH5C6D7C5;S6C8H4S2C9
D4C6CQCAC10;S3C8S2SKH7
SQS6H5CQS7;H7H9HQC10S9
S4C2D4H5H8;S10CKCJD9S2
S4C2DKSKC8;S10S3DJH10C9
D2S9C3D6C9;C7H10H6H2DJ
S10C7HQDKD8;DJC5D9C3S5
H9S2C9DKD7;S9HQHJD4SJ
DKH4H6C6CK;H2DAC3C10H10
D4S7CACKD9;C7S9S4DAH9
C3H9DQHAD6;D5C9H3H4D8
S10D6SKD2SJ;H3CAS5HQHA
C3D5C9C2SK;S10D4HKD6S9
SQC5DADQD3;HAH3CJD4CA
CQH2S6D4H7;C9S4S7C3H8
HQH9HJHAS7;DAD8CJH10S3
C6DAS2C4D5;S9H3D9S5HJ
C4S10HQD4SQ;H9H5S3SJH6
S4H2D3H8DK;SJH3C7CJHA
HKDQCKS5D8;CAH8C4S9H10
D9HAH7D4D2;C8CJD5S9C4
H3H7CKS8D9;DJCQDQHQHJ
C4D6H8S8DA;C7SQSJS9D8
C10D6HAH4H5;C7D5D9C5C8
C5C4H6SQD10;S3S9H8H2CQ
DKH4D10D4C3;H3CQS2D9H10
H8H10HQHKC6;DQSQCAD9CK
CKD8H7H6S3;DJC10H5D6C8
D2S7D7D5SQ;S10C7DQDAS5
S10H5S5DASK;C5D3C8H4CJ
S5S2CQD9CA;HQD4DAH9D2
CQS10C10C7H9;DAH10H5S7CK
CADQS8DAS6;HKC4D5HQS4
D5SJD8C7S9;H5D2CAC8S6
H5C7H7S8DQ;HJD2SJDJD4
S5CKD7H2HJ;D6SJH9D3D9
