D9S7HKS3D10;H10C2C7D5H2
D10H4SKC9S6;CJHJCAC5H5
S8H4D4H9C7;S4H2S3S9C2
S7S9S5C7S4;D6HQD2D4H9
S8S6DJCKC10;SQS4CJH2H7
S4H5S3D9D7;SQDADKCAC10
H5SKC5S2SA;D8C9C8D6C10
C7SAC6C2SK;D10S7D7HQH6
C4CJC6DAS6;SAS4H10S2S3
C5DKH5DAH9;C8S8S6SJCJ
H4S3H9S6S8;S10D9C7S2S7
C5D6SKCJCQ;C9S6S3C7D3
CKC10H8D6HQ;H5SAC6S2DK
S5S7DACJH3;CQDQH9C2C6
C7C5H3D10HK;C3C2D9H4CJ
S9S8S4D2HQ;SAS3C10HJC5
S7H8D3HAHQ;H7S10D9C4H6
C5C2SAC3D2;D3CKS3D9C9
H7DKH8D6H3;C6S2DQDJS4
S3D6C6S4DJ;CKSJDAS2C10
SQS5D10DKCA;H3H10CKD3H8
C10S8DQCQC3;H9CASKH8C2
DJS4H5D6SA;S2S9S6S3SJ
C7S2S3HQH9;D4H8D5SQD10
C8D4HACKH2;DKD5C9CQDA
S7S4C9S3HQ;D9H7H3C3SA
S9SQCAH2S5;S7SKH7S2C5
D7C3S5DKS7;CQH10SAH2C7
HJD6SJCJS2;D8DAD7S9HA
D3SQD7C3C7;SAD5H7H6H5
S8S2D7HQH7;CKDJC9DKS4
CJH9S5C4H5;D7D8CKC9C10
D6H5DQH3S9;C3D10C2S5CK
CAS3D3D6DK;D2H5DJH9H6
HAS5H9CJHJ;DKC6DJS6DQ
C10HKC4D5SQ;H9H10S6CJCQ
S4C4C7HAH2;H3DAD9SKDQ
S3S4C10D10SK;D4D7C5D2CK
H10C2S8D6SJ;D4H4D5CAS7
C5C6H6S3H8;C4D6S7H5D8
SASKS10H9H5;S2CAD2C6DQ
SQH10D5HAH9;D6D2H5C6S4
SKD6C3C5D4;SAH9S2H8CA
SAH10C7S2H2;C5C3S3D4D6
C6D2H10C9C4;S4H4SASQH3
SQCAD9C8CJ;H4DKHQD8H6
D6S9D10SJSK;HAS7C2S3HK
S4D7H3D2C10;S7C6D8CAHJ
